runtime_label	lane	claim_layer	current_status	origin_status	legacy_source_link_status	legacy_pattern_edge_count	claim_source_row_count	mapped_external_source_count	mapped_external_source_ids	mapping_batch	cumulative_mapping	mapping_status	mapping_disposition	research_priority	next_action
ANotAQuestion	LANE-07	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	14	5	SRC-FAN-2026-JAU-VP,SRC-HARA-2023-POLAR,SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	COMPLETE_WITH_SUBTYPE_AND_FORM_SPLIT_BOUNDARY	SOURCE_LINKED_SPLIT_REQUIRED	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Split exact lexical A唔A, reduced-disyllabic forms, and suppletive 有冇+VP event questions before implementation; retain overt arms and do not encode discourse neutrality as a hard parse condition.
AcceptabilityANotA	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	3	1	SRC-LI-2017-ANOTA	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	GENERAL_FORM_LINKED_EXACT_SUBTYPE_GAP	GENERAL_ANOTA_FORM_LINKED_EXACT_CONSTRUCTION_GAP	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep quarantined as a distinct node pending exact primary construction evidence; consider merging overt 得唔得 into lexical predicate A-not-A rather than assuming a special template.
AcceptabilityClause	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
ActionStativeVP	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ActionStativeVP?
AdjectivalPredicateClause	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
PassivePermissiveRelation	LANE-01	language	provisional	legacy_source_linked_posthoc	scoped_edges_recorded	4	11	6	SRC-BODOMO-LAM-YU-2003,SRC-CHAN-2021-BEI,SRC-CHIN-2011-BEI,SRC-CHOW-2018-INDIRECT-PASSIVE,SRC-CHOW-2019-PASSIVE-PERMISSIVE,SRC-WONG-2023-BEI	CP021B-R1	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_WITH_BOUNDARIES	SOURCE_RECONSTRUCTED_PROVISIONAL	R1_CLAIM_LEVEL_MAPPING_COMPLETE	Use the cumulative R4 source matrix; retain SOURCE_RECONSTRUCTED_PROVISIONAL until behavior review.
ApproximateQuantity	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
AssociativeNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
BareClassifierNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_DORMANT_RETIRE_OR_REDEFINE	LANGUAGE_FORM_SUPPORTED_DORMANT_LABEL_REDEFINE_OR_RETIRE	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep dormant; retire or redefine as a role-neutral alias for C-N, not classifier-alone ellipsis.
CausativeResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CausativeResultPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
ChangeIntoPredicate	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
ClassifierObjectNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	5	4	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-CHENG-SYBESMA-1999-NP,SRC-SIMPSON-SOH-NOMOTO-2011-BARE-CL,SRC-XIA-2025-CLASSIFIERS	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_REPRESENTATION_REALIGNMENT	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Realign to a role-neutral classifier+noun representation; assign object/topic/subject roles at the containing frame.
ClauseLinkingSequence	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
ClauseRelation	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
ClauseRelationMember	LANE-02	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
CognitionContentFrame	LANE-08	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CognitionContentFrame?
CognitionDelimitedObjectVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CognitionDelimitedVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CognitionStatementClause	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
Comment	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
ComparativeStative	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
ComplementEllipsisFragment	LANE-04	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by ComplementEllipsisFragment?
CompletionQuestion	LANE-05	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	1	SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R6.tsv	COMPLETE_WITH_OVERT_LICENSING_NARROWING	SOURCE_LINKED_NARROWING_REQUIRED	R6_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Require an overt completion/result/aspect licensing subtype for the language claim; keep perfective, experiential, and result/completion readings distinct; quarantine bare reviewed VO + 未 pending evidence.
CompletionThenClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CompletionVP	LANE-05	language	research_pending	legacy_source_linked_posthoc	scoped_edges_recorded	4	8	4	SRC-FAN-CHAN-2022,SRC-SIO-BOND-2025,SRC-SYBESMA-2013,SRC-YIP-MATTHEWS-2000-BASIC	CP021B-R6	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R6.tsv	COMPLETE_WITH_PARTICLE_CLASS_SPLIT_BOUNDARY	SOURCE_LINKED_SPLIT_REQUIRED	R6_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep the sourced V完 and V完咗O family narrow; split 完 phase/endpoint, 晒 totality, result-state, and outer-perfective layers. Research 晒 separately before disposition.
CompoundDirectionalMotionVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-CHOR-2018-DIRECTIONALS,SRC-WONG-2023-LANGUAGE-SAMPLE,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	REPRESENTATION_REALIGNMENT_REQUIRED	SOURCE_LINKED_REPRESENTATION_REALIGNMENT_REQUIRED	P0_REALIGN_NODE_BOUNDARIES	Reconcile the inconsistent runtime spans for 返上嚟 and 行返過嚟; preserve ordering and object-placement restrictions.
ConditionResult	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
ConditionalClause	LANE-02	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CoordinatedNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
CoordinatedSubjectModalPredicateClause	LANE-07	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
CopularANotAQuestion	LANE-07	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	7	3	SRC-LAW-2001-ANOTA,SRC-LI-2017-ANOTA,SRC-YIP-1988-NEGATION	CP021B-R7	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R7.tsv	COMPLETE_WITH_CONTESTED_ANALYSIS_BOUNDARY	SOURCE_LINKED_ANALYSIS_CONTESTED_REPRESENTATION_NARROWING	R7_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Preserve overt 係唔係 while distinguishing nominal and clausal complements; record the syntactic analysis as contested and keep tokenization decisions internal.
CopularIdentificationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
CopularRelationFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
CoverbFrame	LANE-01	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by CoverbFrame?
DefinitionComplement	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
DefinitionExplanatoryFrame	LANE-10	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
DegreeMannerAdverbial	LANE-10	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeMannerAdverbial?
DegreeMannerModifiedVP	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DegreeModifiedLexicalStative	LANE-10	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DegreeStativePredicate	LANE-10	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DegreeStativePredicate?
DelimitedVP	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DemonstrativeClassifierNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0	7	4	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-LAM-LAU-LEE-2024-SEGMENTATION,SRC-XIA-2025-CLASSIFIERS,SRC-YU-2006-NOMINAL-MODIFIERS	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_WITH_SPLIT_AND_VARIATION	SOURCE_LINKED_SPLIT_REQUIRED	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep overt-head D-(X)-C-N and headless D-C-Ø distinct; record variation over overt one and prohibit hidden numeral insertion.
DemonstrativeHeadNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	3	2	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-LAM-LAU-LEE-2024-SEGMENTATION	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_RETIRE_MISANALYSIS	LANGUAGE_CLAIM_RETIRE_TEMPLATE_MISANALYSIS	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Retire the current template/example mismatch; route 呢個蘋果-type forms through demonstrative+classifier+noun analysis.
DemonstrativeQuantifiedClassifierNP	LANE-06	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-BOND-SIO-2024-CLASSIFIERS,SRC-LAM-LAU-LEE-2024-SEGMENTATION,SRC-XIA-2025-CLASSIFIERS	CP021B-R5	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	COMPLETE_DORMANT_NARROW_OR_MERGE	SOURCE_LINKED_DORMANT_NARROW_OR_MERGE	R5_CLAIM_LEVEL_MAPPING_COMPLETE_NO_IMPLEMENTATION	Keep dormant and narrow to overt D+Num+CL+N only if a separate node remains useful after design review.
DesiderativeVP	LANE-08	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DesiderativeVP?
DiMarkedNP	LANE-06	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P2_RESEARCH_BEFORE_PROMOTION	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DiMarkedNP?
DirectedMannerMotionVP	LANE-09	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	4	3	SRC-LEUNG-2014-COVERBS,SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	NARROWING_SPLIT_REQUIRED	SOURCE_LINKED_NARROWING_REQUIRED	P0_NARROW_AND_SPLIT	Keep postverbal manner-direction profiles separate from preverbal 向 phrases and caused-motion participant mappings.
DirectionalCausedMotionVP	LANE-09	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DirectionalMotionVP	LANE-09	language	provisional	legacy_origin_not_proven	no_pattern_specific_external_edge	0	5	2	SRC-SHAN-JIN-2025-MOTION-TYPOLOGY,SRC-YIU-2016-DIRECTIONAL-ASPECT	CP021B-R3	PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R5.tsv	PARTIAL_SPLIT_REQUIRED	SOURCE_LINKED_SPLIT_REQUIRED	P0_SPLIT_BEFORE_ANY_PROMOTION	Use the R4 matrix to split independent path predicates, manner-directional sequences, postverbal directionals, and caused-motion subspans before any implementation design.
DiscourseParticleFrame	LANE-03	representation	parser_heuristic	internal_representation_only	external_language_source_not_applicable_to_internal_claim	0	0	0				UNMAPPED		INTERNAL_NO_EXTERNAL_LANGUAGE_CLAIM_REQUIRED	Document implementation provenance; do not present the internal label as Cantonese fact.
DisposalChangeIntoResultFrame	LANE-05	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DitransitiveSpeechVP	LANE-08	language	unsupported_generalization	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P0_FIND_AUTHORITY_OR_RETIRE	Search primary research for the exact form/meaning claim; retire or quarantine if unsupported.
DurativeVP	LANE-05	language	research_pending	legacy_origin_not_proven	no_pattern_specific_external_edge	0	0	0				UNMAPPED		P1_RESEARCH_CONSTRUCTION_AND_BOUNDARIES	Which externally documented Cantonese constructions, if any, justify the scope and boundaries currently represented by DurativeVP?
