runtime_label	canonical_family_id	canonical_family	target_action	target_node_or_family	accepted_tree_occurrence_count	runtime_code_reference_count	assigned_work_package	evaluation_packet_id	implementation_status	intended_semantic_change	compatibility_alias_required	held_out_state	source_boundary
SubjectPredicateClause	I01	ClauseSpan	RETAIN_INTERNAL	ClauseSpan	120	81	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep as transparent clause-span structure only; preserve the typed predicate child and prevent the broad wrapper from licensing valency, word order, omission, or predicate subtype.
NeedsContext	I08	ParserDiagnosticDisposition	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	73	39	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I08	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Retain as a disposition only; require explicit reason codes, missing slots, antecedent status, and candidate analyses. Never treat it as a linguistic construction.
ClauseRelationMember	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	57	9	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.
ClauseLinkingSequence	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	47	36	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.
HeadNP	I04	NominalAndMeasureSpan	RENAME_INTERNAL	NominalAndMeasureSpan	31	35	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	SELECTED_HASHED_LOCKED	Rename to a neutral nominal-span wrapper; do not let it independently license argument status, definiteness, ellipsis, or standalone utterance use.
ClauseRelation	I02	ClauseRelationGraph	RETAIN_INTERNAL	ClauseRelationGraph	27	21	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I02	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.
DiscourseParticleFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	19	33	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.
MalformedCandidate	I08	ParserDiagnosticDisposition	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	15	20	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I08	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Retain only with enumerated conflict codes and neutral wording; never equate MalformedCandidate with ungrammatical Cantonese.
MeasureExpression	I04	NominalAndMeasureSpan	RETAIN_INTERNAL	NominalAndMeasureSpan	12	11	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	SELECTED_HASHED_LOCKED	Keep as an overt span container; inherit age, price, area, and length licensing from mapped nominal-predication subtypes.
FocusParticleFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	8	17	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain as internal scope/coverage structure only; require an overt licensed host and independently mapped restrictive-particle subtype.
PolarQuestionFrame	I03	ParticleScope	RENAME_INTERNAL	ParticleScope	6	19	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I03	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain only as an internal question-scope wrapper; each final-particle profile must inherit mapped language evidence and competing-analysis notes.
CopularIdentificationFrame	I06	CopularComposition	MERGE_INTERNAL_WRAPPER	CopularComposition	2	13	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I06	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.
CopularRelationFrame	I06	CopularComposition	MERGE_INTERNAL_WRAPPER	CopularComposition	1	19	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I06	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.
SubjectModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	1	13	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into generic clause composition while preserving the subject and ModalVP children; do not maintain a separate construction family.
Comment	I05	DiscourseRoleStructure	MERGE_INTERNAL_WRAPPER	TopicComment	0	7	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.
CoordinatedSubjectModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	11	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Decompose into a sourced coordinated NP plus ordinary modal/clause structure; retire the combined label.
DefinitionComplement	I04	NominalAndMeasureSpan	RETAIN_INTERNAL	NominalAndMeasureSpan	0	8	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	CASE_BY_CASE	SELECTED_HASHED_LOCKED	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.
DemonstrativeHeadNP	L17	DemonstrativeNP	RETIRE	DemonstrativeNP	0	8	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-L17	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retire the current template/example mismatch; route 呢個蘋果-type forms through demonstrative+classifier+noun analysis.
DirectionalCausedMotionVP	L33	DirectionalMotion	RETIRE	DirectionalMotion caused-motion subtype	0	6	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-L33	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge or retire the dormant label; represent sourced causative directional compounds only through independently typed caused-motion/result and directional relations, preserving the causative-versus-directional boundary.
LocativeModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	12	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into generic clause composition with a locative modifier and visible ModalVP; retire the combined label.
ModifierPhrase	I04	NominalAndMeasureSpan	MERGE_INTERNAL_WRAPPER	ModifiedNP	0	7	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R37-I04	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	SELECTED_HASHED_LOCKED	Merge the child span into a canonical ModifiedNP/relative-modifier analysis and retire the public construction label.
Topic	I05	DiscourseRoleStructure	RENAME_INTERNAL	DiscourseRoleStructure	0	49	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Rename or document as an internal discourse-role wrapper; require independent evidence before asserting syntactic topic status, chains, gaps, or null-object linkage.
TopicCommentClause	I05	DiscourseRoleStructure	RETIRE	DiscourseRoleStructure	0	6	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retire from the active registry and preserve any historical references as an alias to the canonical disposition.
TopicModalPredicateClause	I01	ClauseSpan	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	0	10	CP022-I1A_INTERNAL_WRAPPER_CLEANUP	EP-R36-I01	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into generic clause composition; keep any topic analysis and modal semantics separately evidenced.
NegatedDirectionalMotionVP	L26	Negation	MERGE_TRANSPARENT_COMPOSITION	Negation + DirectionalMotionVP	10	12	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L26	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Treat ordinary directional negation as general VP negation and keep postverbal potential V-唔-directional as a separate construction.
LocativeExistentialClause	L39	ExistentialAndPresentationalClauses	MERGE_TRANSPARENT_COMPOSITION	ExistentialAndPresentationalClauses	6	15	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L39	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retire or replace the dormant mismatched template; retain only overt location-domain + 有/冇 + NP as the source-linked target for future authorized remediation.
ActionStativeVP	L42	StativePredication	MERGE_TRANSPARENT_COMPOSITION	typed predicate + quantity/duration complement	3	11	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L42	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
PerfectiveDirectionalVP	L13	AspectDirectionalComposition	MERGE_TRANSPARENT_COMPOSITION	PerfectiveVP + DirectionalMotion	2	8	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L13	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
ExperientialClause	L07	ExperientialAspect	MERGE_TRANSPARENT_COMPOSITION	ExperientialVP	1	8	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L07	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
ProgressiveDirectionalVP	L13	AspectDirectionalComposition	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + DirectionalMotion	1	8	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L13	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Realign around independently licensed motion structure; keep the exact 行緊入/出嚟/去 fallback quarantined.
ProgressiveWhObjectQuestion	L25	TypedWhAndStanceQuestions	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + typed wh object question	1	13	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L25	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Compose progressive aspect with ordinary wh-in-situ object syntax; merge or retire the special node.
AdjectivalPredicateClause	L42	StativePredication	MERGE_TRANSPARENT_COMPOSITION	StativePredicate subtype	0	6	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L42	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge with a theory-neutral SubjectPredicateClause property/stative subtype or retire the dormant duplicate; do not activate a broad bare-adjective template.
CausativeResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	CausativeResultPredicate	0	10	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L15	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Retain broad CRC linkage but narrow the exact 整冧咗 frame by lexeme, argument structure, speaker/register evidence, and negative boundaries.
ComparativeStative	L43	ScalarComparisonAndEvaluation	MERGE_TRANSPARENT_COMPOSITION	ScalarComparisonAndEvaluation	0	7	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L43	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
DisposalChangeIntoResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	ordinary disposal/modal/change composition	0	10	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L15	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge/retire as modal/disposal/object/change composition; directly source the combined template before preserving a dedicated frame.
EvaluationWithDouSyun	L43	ScalarComparisonAndEvaluation	MERGE_TRANSPARENT_COMPOSITION	ScalarEvaluation lexical subtype	0	8	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L43	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ModalChangeIntoResultFrame	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	ordinary modal/change composition	0	10	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L15	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge/retire as transparent modal + lexical change-predicate composition unless independent wrapper behavior is found.
ModalResponseFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	FragmentsAndEllipsis	0	7	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into lexical ModalVP/Auxiliary structure plus selectively licensed complement ellipsis and a separate response relation; retire the dormant duplicate.
NegativeHaveClause	L26	Negation	MERGE_TRANSPARENT_COMPOSITION	negated possession/existence/event subtype	0	6	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L26	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
NominalModifierNP	L19	NominalModificationAndRelatives	MERGE_TRANSPARENT_COMPOSITION	NominalModificationAndRelatives	0	6	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L19	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge or retire the dormant duplicate; preserve bare, 嘅-marked, classifier-linked, relative, and nominal-complement subtypes in their existing sourced nodes.
PerfectiveResultPredicate	L15	ResultativeAndChangePredication	MERGE_TRANSPARENT_COMPOSITION	lexical predicate + PerfectiveVP	0	9	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L15	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge/retire controlled 解決咗 wrapper in favor of lexical predicate + perfective aspect, subject to regression review.
PossessiveNP	L20	PossessiveNominals	MERGE_TRANSPARENT_COMPOSITION	PossessiveNominals	0	6	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L20	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge or retire the dormant umbrella; preserve possessor+嘅, possessor+classifier, and headless possessive subtypes without inserting a silent noun.
PossessiveNominalFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	PossessiveNominals + FragmentsAndEllipsis	0	7	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into headless modifier-嘅 nominal and nominal-predicate structures or retire the dormant duplicate.
PossessiveTransferClause	L20	PossessiveNominals	MERGE_TRANSPARENT_COMPOSITION	Possessive NP + modal/transfer clause composition	0	11	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L20	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Decompose into independently parsed possession, modal, transfer, object, and recipient material; quarantine the exact combined seven-slot template pending direct evidence.
ProgressivePlaceQuestion	L25	TypedWhAndStanceQuestions	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + LocativeWhQuestion	0	9	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L25	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Compose progressive aspect with ordinary locative-wh syntax; merge or retire the special node.
ProgressivePurposeClause	L35	PurposeSerialRelations	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP + PurposeSerialRelation	0	12	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L35	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Quarantine the exact unlinked 喺度+V緊O+VO template; compose progressive aspect with a separately evidenced serial/purpose relation instead.
ProgressiveTransitivePredicate	L08	ProgressiveAspect	MERGE_TRANSPARENT_COMPOSITION	ProgressiveVP	0	11	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L08	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge or retire the duplicate internal label while preserving V緊O spans and purpose-clause provenance.
ProhibitiveFragment	L05	FragmentsAndEllipsis	MERGE_TRANSPARENT_COMPOSITION	ProhibitiveImperative / formulaic response	0	7	CP022-I1B_TRANSPARENT_WRAPPER_CLEANUP	EP-R36-L05	NOT_AUTHORIZED	NONE_STRUCTURAL_MIGRATION_ONLY	YES	NOT_SELECTED_NOT_OPENED	Merge into ProhibitiveImperative plus lexical-formula protection or retire the dormant duplicate; preserve 咪/唔好 distinctions.
