runtime_label	lane	prior_claim_layer	runtime_state	runtime_code_reference_count	accepted_tree_occurrence_count	accepted_depth_profile	accepted_parent_profile	sample_surfaces	disposition_category	disposition_code	hidden_language_dependency	rationale	language_precondition	next_action	implementation_priority
ClauseLinkingSequence	LANE-02	representation	ACTIVE_ACCEPTED_TREE	17	47	"{""0"": 47}"	"{"""": 47}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 人，人，人。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。	KEEP_INTERNAL	KEEP_INTERNAL_DISCOURSE_WRAPPER_WITH_TYPED_RELATION_CHILD_AND_WRAPPER_COVERAGE	CONDITIONAL	The node is an active root/discourse accounting wrapper. It becomes defensible only when typed child relations, linkers, separators, and wrapper coverage remain visible.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep as an internal wrapper; do not assign conditional, causal, temporal, sequential, concessive, or topic-chain meaning from the wrapper name alone.	LOW
ClauseRelation	LANE-02	representation	ACTIVE_ACCEPTED_TREE	12	27	"{""1"": 27}"	"{""ClauseLinkingSequence"": 23, ""CognitionContentFrame"": 1, ""OpinionStanceFrame"": 2, ""ReportedSpeech"": 1}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。 | 如果你覺得佢啱，我就同意。	KEEP_INTERNAL	KEEP_INTERNAL_TYPED_RELATION_NODE_REQUIRE_SOURCE_LINKED_SUBTYPE	YES	The node stores a typed relation and its two members. The subtype is language-sensitive even though the container is internal.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep the container, but require every relation subtype and linker interpretation to inherit an independently mapped language claim and negative boundary.	LOW
ClauseRelationMember	LANE-02	representation	ACTIVE_ACCEPTED_TREE	3	57	"{""1"": 3, ""2"": 54}"	"{""ClauseRelation"": 54, ""NeedsContext"": 3}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 再做功課。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。	KEEP_INTERNAL	KEEP_INTERNAL_RELATION_MEMBER_CONTAINER_NO_INDEPENDENT_LANGUAGE_STATUS	NO	This is a left/right member container inside ClauseRelation or an incomplete relation diagnostic. It adds no separate grammatical relation.	No independent language claim: internal container/disposition only.	Keep internal and non-learner-facing; inherit all semantic status from the parent relation or context diagnostic.	LOW
Comment	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	1	0	{}	{}		MERGE	MERGE_COMMENT_NODE_INTO_TOPICCOMMENT_PREDICATE_ROLE	NO	The standalone child node has no accepted-tree occurrence and merely rewraps comment material inside TopicComment.	No independent language claim: internal container/disposition only.	Remove as an active construction during remediation; preserve comment as a slot/role on the underlying predicate.	MEDIUM
CoordinatedSubjectModalPredicateClause	LANE-07	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	5	0	{}	{}		MERGE	MERGE_COORDINATED_NP_PLUS_MODAL_CLAUSE_RETIRE_COMBINED_WRAPPER	YES	The combined wrapper has no accepted-tree occurrence and duplicates coordination, modal VP, and clause composition.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Decompose into a sourced coordinated NP plus ordinary modal/clause structure; retire the combined label.	MEDIUM
CopularIdentificationFrame	LANE-10	representation	ACTIVE_ACCEPTED_TREE	7	2	"{""0"": 2}"	"{"""": 2}"	佢係老師。 | 呢個係問題。	MERGE	MERGE_TO_CANONICAL_COPULAR_CLAUSE_WITH_IDENTIFICATION_SUBTYPE	YES	The active label groups topic/NP, 係, and an NP complement. Identification versus classification is language-sensitive, not a free internal distinction.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Consolidate with a canonical copular-clause design; if the identification subtype survives, move its licensing claim to the language layer and source it explicitly.	MEDIUM
CopularRelationFrame	LANE-10	representation	ACTIVE_ACCEPTED_TREE	12	1	"{""1"": 1}"	"{""OpinionStanceFrame"": 1}"	我覺得係真嘅。	MERGE	MERGE_TO_CANONICAL_COPULAR_CLAUSE_COMPLEMENT_TYPE_AS_METADATA	YES	The active label differs from CopularIdentificationFrame mainly through slot affordances and complement typing.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge into canonical copular composition; preserve complement type and stance embedding as metadata rather than a parallel frame ontology.	MEDIUM
DefinitionComplement	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	2	0	{}	{}		KEEP_INTERNAL	KEEP_INTERNAL_BOUNDED_DEFINITION_COMPLEMENT_SPAN_ONLY	CONDITIONAL	The node is a transparent complement span created only inside the definition/explanatory frame.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep only as an internal child span; it may not independently license a definition reading or convert arbitrary text into an NP.	LOW
DefinitionExplanatoryFrame	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	7	0	{}	{}		NARROW_HEURISTIC	NARROW_EXACT_HAI6_COMPLEMENT_LAI4_GAA3_DEFINITION_PROFILE_OR_RECLASSIFY_LANGUAGE	YES	The rule recognizes an exact Cantonese 係…嚟㗎-style profile and suppresses motion analysis for 嚟. That matching condition is a language claim despite the representation-layer registry entry.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep quarantined. In consolidation, either merge it into sourced copular/identity/question components or reclassify the retained exact construction to the language layer before implementation.	HIGH
DiscourseParticleFrame	LANE-03	representation	ACTIVE_ACCEPTED_TREE	15	19	"{""0"": 19}"	"{"""": 19}"	你去啩？ | 你走啦。 | 你食飯啩。 | 你食飯喎。 | 佢走喇。 | 佢返咗屋企啩。 | 佢返咗屋企㗎喇。 | 佢會返嚟啩。	RENAME_INTERNAL	RENAME_INTERNAL_PARTICLE_SCOPE_WRAPPER_SUBTYPE_SEMANTICS_INHERIT_SOURCE_MAP	YES	The node transparently scopes visible sentence-final particles over a host, but particle force, order, and host compatibility are language-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Retain only as an internal particle-scope wrapper; rename away from a standalone construction claim and require each particle/cluster subtype to inherit mapped evidence.	MEDIUM
FocusParticleFrame	LANE-03	representation	ACTIVE_ACCEPTED_TREE	4	8	"{""0"": 5, ""1"": 3}"	"{"""": 5, ""NeedsContext"": 3}"	得一個咋。 | 得一個啫。 | 得十蚊咋。 | 得三本書咋。 | 得三個人咋。 | 得少少啫. | 得少少啫。 | 得兩個啫。	RENAME_INTERNAL	RENAME_INTERNAL_RESTRICTIVE_FOCUS_SCOPE_WRAPPER_REQUIRE_OVERT_LICENSED_HOST	YES	The wrapper preserves 得 plus a scalar host and 啫/咋. Host licensing and restrictive interpretation are language-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Retain as internal scope/coverage structure only; require an overt licensed host and independently mapped restrictive-particle subtype.	MEDIUM
HeadNP	LANE-06	representation	ACTIVE_ACCEPTED_TREE	18	31	"{""0"": 12, ""1"": 4, ""3"": 12, ""4"": 3}"	"{"""": 12, ""ClauseLinkingSequence"": 3, ""ClauseRelationMember"": 12, ""PotentialResultVP"": 1, ""TransitiveVP"": 3}"	一見到佢，我笑。 | 一見到佢，我就笑。 | 人，人，人。 | 大家。 | 正題。 | 如果你去，我就去。 | 如果你覺得佢啱，我就同意。 | 有嘅話，我哋再同大家講講。	RENAME_INTERNAL	RENAME_INTERNAL_BARE_NOMINAL_SPAN_NO_ARGUMENT_OR_FRAGMENT_LICENSE	YES	The broad label wraps bare nominal material across arguments and fragments. Bare-noun distribution and fragment licensing are language claims.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Rename to a neutral nominal-span wrapper; do not let it independently license argument status, definiteness, ellipsis, or standalone utterance use.	MEDIUM
LocativeModalPredicateClause	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	6	0	{}	{}		MERGE	MERGE_LOCATIVE_PREFIX_PLUS_MODAL_VP_RETIRE_COMBINED_WRAPPER	YES	The wrapper has no accepted-tree occurrence and adds no marker beyond locative material plus an existing ModalVP.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge into generic clause composition with a locative modifier and visible ModalVP; retire the combined label.	MEDIUM
MalformedCandidate	LANE-10	heuristic	ACTIVE_ACCEPTED_TREE	13	15	"{""0"": 10, ""1"": 5}"	"{"""": 10, ""NeedsContext"": 5}"	行去入。 | 佢喺一。 | 我有冇食飯。 | 我行學校去。 | 我到返屋企。 | 我返屋企到。 | 我食一。 | 我喺屋企琴日食飯。	NARROW_HEURISTIC	NARROW_HEURISTIC_TO_EXPLICIT_PARSER_CONFLICT_CODES_NOT_UNGRAMMATICALITY	NO_RISK	This is a parser failure/disposition node. Its danger is presenting parser incompatibility as a speaker judgment.	No independent language claim: internal container/disposition only.	Retain only with enumerated conflict codes and neutral wording; never equate MalformedCandidate with ungrammatical Cantonese.	HIGH
MeasureExpression	LANE-10	representation	ACTIVE_ACCEPTED_TREE	4	12	"{""1"": 12}"	"{""NominalPredicateClause"": 12}"	佢十歲。 | 我五歲。 | 個學生十歲。 | 呢個學生十歲。 | 本書三十蚊。 | 呢本書一百蚊。 | 間房三百呎。 | 呢間房五百呎。	KEEP_INTERNAL	KEEP_INTERNAL_OVERT_MEASURE_SPAN_NO_INDEPENDENT_PREDICATION	YES	The node transparently groups overt number/unit material inside NominalPredicateClause. Measure subtype and predicative licensing remain language-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep as an overt span container; inherit age, price, area, and length licensing from mapped nominal-predication subtypes.	LOW
ModifierPhrase	LANE-06	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	1	0	{}	{}		MERGE	MERGE_MODIFIER_SPAN_INTO_MODIFIED_NP_RETIRE_PUBLIC_LABEL	YES	The label occurs only in a temporary surface-specific phrase rule and has no accepted-tree occurrence.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge the child span into a canonical ModifiedNP/relative-modifier analysis and retire the public construction label.	MEDIUM
NeedsContext	LANE-10	heuristic	ACTIVE_ACCEPTED_TREE	29	73	"{""0"": 73}"	"{"""": 73}"	一日。 | 一日啊。 | 一年。 | 一個月。 | 三年。 | 三個月。 | 不食飯。 | 六個月。	NARROW_HEURISTIC	NARROW_HEURISTIC_TO_ENUMERATED_MISSING_CONTEXT_ARGUMENT_OR_ANALYSIS_CAUSES	NO_RISK	NeedsContext is a useful parser disposition but currently covers fragments, omissions, incomplete relations, ambiguity, and malformed inputs.	No independent language claim: internal container/disposition only.	Retain as a disposition only; require explicit reason codes, missing slots, antecedent status, and candidate analyses. Never treat it as a linguistic construction.	HIGH
PolarQuestionFrame	LANE-07	representation	ACTIVE_ACCEPTED_TREE	10	6	"{""0"": 6}"	"{"""": 6}"	去咩？ | 你去咩？ | 你去㗎咩？ | 你食飯咩？ | 佢返咗屋企咩？ | 我可以去咩？	RENAME_INTERNAL	RENAME_INTERNAL_POLAR_PARTICLE_SCOPE_WRAPPER_REQUIRE_SOURCE_LINKED_PARTICLE_PROFILE	YES	The active wrapper scopes final 咩 or a question cluster over a host. Polar force, bias, particle order, and host compatibility are language claims.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Retain only as an internal question-scope wrapper; each final-particle profile must inherit mapped language evidence and competing-analysis notes.	MEDIUM
SubjectModalPredicateClause	LANE-10	representation	ACTIVE_ACCEPTED_TREE	7	1	"{""0"": 1}"	"{"""": 1}"	你要唔要？	MERGE	MERGE_SUBJECT_PLUS_MODAL_VP_INTO_GENERIC_CLAUSE_WRAPPER	YES	The wrapper has one accepted occurrence and simply combines a subject with an existing ModalVP.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge into generic clause composition while preserving the subject and ModalVP children; do not maintain a separate construction family.	MEDIUM
SubjectPredicateClause	LANE-10	representation	ACTIVE_ACCEPTED_TREE	53	120	"{""0"": 62, ""1"": 34, ""2"": 3, ""3"": 18, ""4"": 3}"	"{"""": 62, ""ClauseLinkingSequence"": 8, ""ClauseRelationMember"": 19, ""CognitionContentFrame"": 1, ""DiscourseParticleFrame"": 9, ""NeedsContext"": 8, ""OpinionStanceFrame"": 4, ""PolarQuestionFrame"": 4, ""RelativeClauseNP"": 3, ""ReportedSpeech"": 2}"	一見到佢，我笑。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 如果你去，我去。 | 如果你去，我就去。 | 如果你覺得佢啱，我就同意。 | 但係佢唔嚟。	KEEP_INTERNAL	KEEP_INTERNAL_BROAD_CLAUSE_SPAN_PREDICATE_SUBTYPE_MUST_REMAIN_VISIBLE	YES	This is a heavily used broad clause wrapper spanning stative, negative, temporal, motion, and other predicate types. Its subtypes are the actual language claims.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Keep as transparent clause-span structure only; preserve the typed predicate child and prevent the broad wrapper from licensing valency, word order, omission, or predicate subtype.	LOW
Topic	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	21	0	{}	{}		RENAME_INTERNAL	RENAME_INTERNAL_DISCOURSE_TOPIC_ROLE_WRAPPER_NO_AUTOMATIC_SYNTACTIC_TOPIC_CLAIM	YES	The node is used as a role wrapper in definition, intended-function, result, and fallback topic-comment paths. Topic status itself is analysis-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Rename or document as an internal discourse-role wrapper; require independent evidence before asserting syntactic topic status, chains, gaps, or null-object linkage.	MEDIUM
TopicComment	LANE-10	representation	ACTIVE_ACCEPTED_TREE	10	1	"{""0"": 1}"	"{"""": 1}"	呢本書三十。	NARROW_HEURISTIC	NARROW_TOPICCOMMENT_TO_COMPLETE_TOPIC_AND_TYPED_COMMENT_WITH_FULL_SPAN_COVERAGE	YES	The broad fallback can infer topic-comment structure from a topic candidate followed by comment-like material. Its sole accepted occurrence shows a suspicious partial span.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Quarantine for remediation; require a complete typed comment predicate, full-span coverage, and independently supported topic/comment relation.	HIGH
TopicCommentClause	LANE-10	representation	DORMANT_REGISTRY_ONLY	0	0	{}	{}		RETIRE	RETIRE_DORMANT_DUPLICATE_OF_TOPICCOMMENT	YES	The registry-only label has no runtime constructor and duplicates TopicComment naming.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Retire from the active registry and preserve any historical references as an alias to the canonical disposition.	LOW
TopicModalPredicateClause	LANE-10	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	4	0	{}	{}		MERGE	MERGE_TOPIC_PLUS_MODAL_VP_INTO_GENERIC_CLAUSE_WRAPPER	YES	The wrapper has no accepted-tree occurrence and merely combines a topic-like prefix with ModalVP.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Merge into generic clause composition; keep any topic analysis and modal semantics separately evidenced.	MEDIUM
VPComplementFrame	LANE-08	representation	ACTIVE_OR_REGISTERED_UNEXERCISED	13	0	{}	{}		NARROW_HEURISTIC	NARROW_BY_LEXEME_COMPLEMENT_SELECTION_OR_MERGE_TO_TYPED_PREDICATES	YES	The broad fallback groups complement-taking predicates with following VP material, but lexical selection and complement type are language-sensitive.	Language-sensitive matching must inherit an already mapped subtype; if no exact subtype exists, the path remains quarantined or is reclassified before survival.	Quarantine the generic fallback; replace with lexeme/construction-specific complement licensing or merge transparent grouping into typed predicate families.	HIGH
