attestation_id	source_id	commit	corpus_file	source_line	surface_utterance	subject_profile	zoeng_np_profile	predicate_profile	adjudication	limit
ATT-001-01	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-005a_v2	64	其實，後來呢有啲人將佢反轉過來嘞，就有個新嘅《孔融讓梨》古仔。	overt indefinite human subject	pronoun 佢	caused reorientation with directional/result complement 反轉過來	USABLE_NATURAL_POSITIVE	Narrative token; does not establish free productivity with every directional predicate.
ATT-001-02	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-013_v	194	即係多過十二日，佢咪會將嗰禮拜六日都扣埋囖。	overt pronoun subject	demonstrative nominal 嗰禮拜六日	administrative subtraction/inclusion with completive 埋	USABLE_NATURAL_POSITIVE	Abstract institutional action; the exact scope of 都 and 埋 needs separate analysis.
ATT-001-03	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-022a_v	1646	誒，唔會𡃉，因為其實佢係將兩冊呢係濃縮成一冊。	overt pronoun subject	numeral-classifier NP 兩冊 plus topic particle 呢	change-into-result predicate 濃縮成一冊	USABLE_REPAIR_MARKED_POSITIVE	The post-NP 呢 and repeated 係 make this a repair-marked production, not a clean counterexample to proposed numeral-NP restrictions.
ATT-001-04	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-026_v2	1997	即係我-我就係做錄音嘅，噉樣錄完音返來呢就-就將誒錄音嗰啲字呢就全部寫-寫低出來囖。	contextually recoverable first-person subject after repairs	definite plural-classifier NP 錄音嗰啲字 plus 呢	transcription/inscription with result-directional 寫低出來	USABLE_REPAIR_MARKED_POSITIVE	Contains repetitions and fillers; supports an attested profile, not a canonical citation form.
ATT-001-05	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-026_v2	2026	跟住呢就-就用拼音將啲字呢寫返出來囖。	contextually recoverable first-person subject	plural-classifier NP 啲字 plus 呢	orthographic rendering with directional/result 寫返出來	USABLE_REPAIR_MARKED_POSITIVE	Instrumental 用拼音 precedes 將; ordering among preverbal dependents remains untested.
ATT-001-06	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-028_v2	2501	你將個詳情講來聽下。	overt second-person imperative subject	classifier NP 個詳情	communication predicate with deictic complement 講來聽下	USABLE_NATURAL_POSITIVE	One imperative token does not establish the full communication-predicate class.
ATT-001-07	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-053_v2	221	噉所以呢佢就好嬲囖，噉跟住呢佢就將個口罩抌咗落地下就發脾氣。	overt pronoun subject	classifier NP 個口罩	caused displacement with perfective and goal 抌咗落地下	USABLE_NATURAL_POSITIVE	Strong physical-displacement core; following 就 clause is outside the 將 predicate.
ATT-001-08	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-056_v2	245	將部機改咗玩翻版碟吖嗎。	contextually recoverable subject	classifier NP 部機	change/configuration predicate 改咗 plus purpose/use complement	USABLE_NATURAL_POSITIVE	Subject omission is discourse-licensed here and does not prove unrestricted null subjects.
ATT-001-09	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-108a_v2	235	噉我哋咪將嗰啲功課擺落locker囖。	overt first-person plural subject	demonstrative plural-classifier NP 嗰啲功課	caused placement with goal 擺落locker	USABLE_NATURAL_POSITIVE	Code-switched goal noun does not affect the constructional word-order evidence.
ATT-001-10	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R002b_v2	3138,3151	要將自己哩個即係所謂你話佢係尊嚴又好，將哩一種尊嚴呢，即係來到販賣嘅時候呢，有陣時都真係幾悲𠸏。	modal 要 with discourse-recoverable subject	self-associated NP followed by reformulated demonstrative-classifier NP	abstract commodification predicate 販賣	USABLE_REPAIR_MARKED_POSITIVE	Two 將 phrases are linked by self-repair; do not count them as independent clean tokens.
ATT-001-11	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R004_v2	2818	就係話呢，即係將嗰個租金呢就入咗去個譬如股份來𡃉。	contextually recoverable subject	demonstrative-classifier NP 嗰個租金 plus 呢	financial allocation/conversion with directional 入咗去	USABLE_REPAIR_MARKED_POSITIVE	Filled pauses and the final complement are structurally unclear; retain only as broad-profile evidence.
ATT-001-12	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R007_v2	1671	誒，佢係，誒，其實都係芝士焗嘅，噉呢，但係佢個問題呢就，誒，佢成隻其實起咗出來，然之後切粒，即係將龍蝦肉切粒。	discourse-recoverable subject in reformulation	bare compound NP 龍蝦肉	change-of-form predicate 切粒	USABLE_NATURAL_POSITIVE	Reformulation context supports the surface pattern but not a categorical bare-NP generalization.
ATT-001-13	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R010a_v	2822	「請將你所有嘅手提電話關掉。	polite imperative with recoverable addressee	possessive universal NP 你所有嘅手提電話	change-of-state predicate 關掉	USABLE_QUOTED_POSITIVE	Quoted announcement register; evidence for form, not casual-conversation frequency.
ATT-001-14	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R013b_v	406	即係如果你尤其是將嗰樣嘢睇得太認真嘅時候呢，你覺得自己係個三流嘅藝術家呢，嗰種感覺一定我諗我可能死咗。	overt second-person subject	demonstrative-classifier NP 嗰樣嘢	degree/evaluative predicate 睇得太認真	USABLE_NATURAL_POSITIVE	Abstract construal token; its conditional environment and degree complement may license a narrower subtype.
ATT-001-15	SRC-HKCANCOR-UTF8-2015	39aeadf920e0b5ca93d0ad7792c59e740e7bdd65	FC-R013b_v	2714	其實我哋應該將佢唔同噉睇嘞。	overt first-person plural subject	pronoun 佢	manner-of-construal predicate 唔同噉睇	USABLE_NATURAL_POSITIVE	Abstract construal token; does not show that every stative or cognition predicate licenses 將.
